Company,Price Interval,No. of Bids,Qty Confirmed,Qty Yet to Confirm,Qty Total,Cumulative Confirmed,Cumulative Yet to Confirm,Cumulative Total
Hindustan Zinc Limited,685,342,"21,94,301",-,"21,94,301","44,27,267",-,"44,27,267"
Hindustan Zinc Limited,685.05,4,"3,831",-,"3,831","22,32,966",-,"22,32,966"
Hindustan Zinc Limited,685.1,9,"1,76,412",-,"1,76,412","22,29,135",-,"22,29,135"
Hindustan Zinc Limited,685.15,1,"72,000",-,"72,000","20,52,723",-,"20,52,723"
Hindustan Zinc Limited,685.25,1,"10,500",-,"10,500","19,80,723",-,"19,80,723"
Hindustan Zinc Limited,685.35,5,"4,550",-,"4,550","19,70,223",-,"19,70,223"
Hindustan Zinc Limited,685.5,2,"10,350",-,"10,350","19,65,673",-,"19,65,673"
Hindustan Zinc Limited,685.55,1,295,-,295,"19,55,323",-,"19,55,323"
Hindustan Zinc Limited,686,43,"70,368",-,"70,368","19,55,028",-,"19,55,028"
Hindustan Zinc Limited,686.1,3,"17,584",-,"17,584","18,84,660",-,"18,84,660"
Hindustan Zinc Limited,686.3,1,500,-,500,"18,67,076",-,"18,67,076"
Hindustan Zinc Limited,686.35,1,590,-,590,"18,66,576",-,"18,66,576"
Hindustan Zinc Limited,686.5,1,32,-,32,"18,65,986",-,"18,65,986"
Hindustan Zinc Limited,686.55,1,500,-,500,"18,65,954",-,"18,65,954"
Hindustan Zinc Limited,687,19,"1,67,746",-,"1,67,746","18,65,454",-,"18,65,454"
Hindustan Zinc Limited,687.1,2,"30,500",-,"30,500","16,97,708",-,"16,97,708"
Hindustan Zinc Limited,687.3,2,"15,500",-,"15,500","16,67,208",-,"16,67,208"
Hindustan Zinc Limited,687.5,1,"10,000",-,"10,000","16,51,708",-,"16,51,708"
Hindustan Zinc Limited,688,10,"3,874",-,"3,874","16,41,708",-,"16,41,708"
Hindustan Zinc Limited,688.05,1,300,-,300,"16,37,834",-,"16,37,834"
Hindustan Zinc Limited,689,2,"14,200",-,"14,200","16,37,534",-,"16,37,534"
Hindustan Zinc Limited,689.35,1,500,-,500,"16,23,334",-,"16,23,334"
Hindustan Zinc Limited,689.9,1,"2,100",-,"2,100","16,22,834",-,"16,22,834"
Hindustan Zinc Limited,690,67,"59,417",-,"59,417","16,20,734",-,"16,20,734"
Hindustan Zinc Limited,690.05,1,"1,000",-,"1,000","15,61,317",-,"15,61,317"
Hindustan Zinc Limited,690.1,2,"1,130",-,"1,130","15,60,317",-,"15,60,317"
Hindustan Zinc Limited,690.25,1,450,-,450,"15,59,187",-,"15,59,187"
Hindustan Zinc Limited,690.5,5,"1,575",-,"1,575","15,58,737",-,"15,58,737"
Hindustan Zinc Limited,691,29,"20,927",-,"20,927","15,57,162",-,"15,57,162"
Hindustan Zinc Limited,691.05,1,"1,600",-,"1,600","15,36,235",-,"15,36,235"
Hindustan Zinc Limited,691.1,1,450,-,450,"15,34,635",-,"15,34,635"
Hindustan Zinc Limited,691.6,2,900,-,900,"15,34,185",-,"15,34,185"
Hindustan Zinc Limited,691.85,1,300,-,300,"15,33,285",-,"15,33,285"
Hindustan Zinc Limited,691.9,8,"3,370",-,"3,370","15,32,985",-,"15,32,985"
Hindustan Zinc Limited,692,6,"5,490",-,"5,490","15,29,615",-,"15,29,615"
Hindustan Zinc Limited,692.25,1,290,-,290,"15,24,125",-,"15,24,125"
Hindustan Zinc Limited,693,4,"2,466",-,"2,466","15,23,835",-,"15,23,835"
Hindustan Zinc Limited,695,29,"3,12,360",-,"3,12,360","15,21,369",-,"15,21,369"
Hindustan Zinc Limited,695.05,2,"2,400",-,"2,400","12,09,009",-,"12,09,009"
Hindustan Zinc Limited,695.1,3,"1,998",-,"1,998","12,06,609",-,"12,06,609"
Hindustan Zinc Limited,695.2,2,"20,300",-,"20,300","12,04,611",-,"12,04,611"
Hindustan Zinc Limited,695.25,1,"1,000",-,"1,000","11,84,311",-,"11,84,311"
Hindustan Zinc Limited,695.55,1,"1,401",-,"1,401","11,83,311",-,"11,83,311"
Hindustan Zinc Limited,696,2,"1,292",-,"1,292","11,81,910",-,"11,81,910"
Hindustan Zinc Limited,696.8,1,290,-,290,"11,80,618",-,"11,80,618"
Hindustan Zinc Limited,697,1,400,-,400,"11,80,328",-,"11,80,328"
Hindustan Zinc Limited,698,7,"3,468",-,"3,468","11,79,928",-,"11,79,928"
Hindustan Zinc Limited,698.6,1,290,-,290,"11,76,460",-,"11,76,460"
Hindustan Zinc Limited,699,2,545,-,545,"11,76,170",-,"11,76,170"
Hindustan Zinc Limited,699.5,1,"2,000",-,"2,000","11,75,625",-,"11,75,625"
Hindustan Zinc Limited,700,67,"4,33,988",-,"4,33,988","11,73,625",-,"11,73,625"
Hindustan Zinc Limited,700.05,2,"2,000",-,"2,000","7,39,637",-,"7,39,637"
Hindustan Zinc Limited,700.1,1,"4,500",-,"4,500","7,37,637",-,"7,37,637"
Hindustan Zinc Limited,700.25,3,900,-,900,"7,33,137",-,"7,33,137"
Hindustan Zinc Limited,700.5,3,"3,355",-,"3,355","7,32,237",-,"7,32,237"
Hindustan Zinc Limited,701,28,"26,236",-,"26,236","7,28,882",-,"7,28,882"
Hindustan Zinc Limited,701.05,1,"1,426",-,"1,426","7,02,646",-,"7,02,646"
Hindustan Zinc Limited,701.1,1,"1,500",-,"1,500","7,01,220",-,"7,01,220"
Hindustan Zinc Limited,701.25,1,511,-,511,"6,99,720",-,"6,99,720"
Hindustan Zinc Limited,701.5,2,550,-,550,"6,99,209",-,"6,99,209"
Hindustan Zinc Limited,701.75,4,"16,690",-,"16,690","6,98,659",-,"6,98,659"
Hindustan Zinc Limited,702,6,"16,520",-,"16,520","6,81,969",-,"6,81,969"
Hindustan Zinc Limited,702.1,1,250,-,250,"6,65,449",-,"6,65,449"
Hindustan Zinc Limited,702.25,1,990,-,990,"6,65,199",-,"6,65,199"
Hindustan Zinc Limited,702.5,1,250,-,250,"6,64,209",-,"6,64,209"
Hindustan Zinc Limited,703,2,689,-,689,"6,63,959",-,"6,63,959"
Hindustan Zinc Limited,703.1,1,300,-,300,"6,63,270",-,"6,63,270"
Hindustan Zinc Limited,704,2,"1,010",-,"1,010","6,62,970",-,"6,62,970"
Hindustan Zinc Limited,704.1,1,"1,200",-,"1,200","6,61,960",-,"6,61,960"
Hindustan Zinc Limited,705,14,"3,04,373",-,"3,04,373","6,60,760",-,"6,60,760"
Hindustan Zinc Limited,705.1,1,500,-,500,"3,56,387",-,"3,56,387"
Hindustan Zinc Limited,705.2,1,800,-,800,"3,55,887",-,"3,55,887"
Hindustan Zinc Limited,705.55,2,"2,00,000",-,"2,00,000","3,55,087",-,"3,55,087"
Hindustan Zinc Limited,706,2,"1,00,300",-,"1,00,300","1,55,087",-,"1,55,087"
Hindustan Zinc Limited,706.3,1,"2,000",-,"2,000","54,787",-,"54,787"
Hindustan Zinc Limited,706.5,1,285,-,285,"52,787",-,"52,787"
Hindustan Zinc Limited,707,1,"5,555",-,"5,555","52,502",-,"52,502"
Hindustan Zinc Limited,708,1,700,-,700,"46,947",-,"46,947"
Hindustan Zinc Limited,708.4,1,500,-,500,"46,247",-,"46,247"
Hindustan Zinc Limited,709,2,620,-,620,"45,747",-,"45,747"
Hindustan Zinc Limited,710,16,"8,345",-,"8,345","45,127",-,"45,127"
Hindustan Zinc Limited,710.1,1,350,-,350,"36,782",-,"36,782"
Hindustan Zinc Limited,710.2,1,282,-,282,"36,432",-,"36,432"
Hindustan Zinc Limited,711,15,"8,000",-,"8,000","36,150",-,"36,150"
Hindustan Zinc Limited,711.5,1,"1,400",-,"1,400","28,150",-,"28,150"
Hindustan Zinc Limited,712,3,"1,440",-,"1,440","26,750",-,"26,750"
Hindustan Zinc Limited,713.2,1,"2,000",-,"2,000","25,310",-,"25,310"
Hindustan Zinc Limited,714.05,1,417,-,417,"23,310",-,"23,310"
Hindustan Zinc Limited,715,4,"2,014",-,"2,014","22,893",-,"22,893"
Hindustan Zinc Limited,715.15,1,290,-,290,"20,879",-,"20,879"
Hindustan Zinc Limited,720,22,"15,284",-,"15,284","20,589",-,"20,589"
Hindustan Zinc Limited,791,1,800,-,800,"5,305",-,"5,305"
Hindustan Zinc Limited,800,1,5,-,5,"4,505",-,"4,505"
Hindustan Zinc Limited,885,6,"4,500",-,"4,500","4,500",-,"4,500"
